timestamp,symbol,user,followers,text,sentiment,likes,retweets,date,week
2025-03-21,SPG,user_36,3624,AI dividend cloud upgrade,-0.19,2,1,2025-03-21,2025-03-17
2025-01-22,AMZN,user_61,16351,growth holding chip growth cloud,0.349,8,2,2025-01-22,2025-01-20
2025-03-31,TSLA,user_81,734,chip downgrade AI sell dividend,-0.538,7,2,2025-03-31,2025-03-31
2025-01-07,MSFT,user_40,4283,holding chip revenue rebound growth,0.051,6,2,2025-01-07,2025-01-06
2025-06-13,AAPL,user_93,17011,downgrade dividend growth rebound buy growth miss,0.776,5,1,2025-06-13,2025-06-09
2025-02-16,GOOGL,user_27,13047,cloud downgrade rebound buy,-0.4,3,4,2025-02-16,2025-02-10
2025-04-30,AAPL,user_1,8057,earnings rebound earnings dividend holding rebound AI,-0.271,5,1,2025-04-30,2025-04-28
2025-02-26,TSLA,user_34,16661,chip earnings chip miss,0.206,3,1,2025-02-26,2025-02-24
2025-04-04,AAPL,user_68,2378,chip crash crash buy,0.072,3,2,2025-04-04,2025-03-31
2025-04-09,MSFT,user_88,19165,holding dividend rebound beat miss earnings,0.14,7,2,2025-04-09,2025-04-07
2025-02-03,TSLA,user_21,9069,revenue sell upgrade crash,0.196,4,5,2025-02-03,2025-02-03
2025-06-24,GOOGL,user_33,16864,AI miss beat rebound buy,0.254,4,0,2025-06-24,2025-06-23
2025-05-20,GOOGL,user_7,9305,miss beat miss miss growth revenue earnings,0.444,6,0,2025-05-20,2025-05-19
2025-06-19,NVDA,user_65,18143,cloud cloud cloud chip crash,0.164,6,2,2025-06-19,2025-06-16
2025-06-11,TSLA,user_3,5832,growth holding holding,-0.097,3,1,2025-06-11,2025-06-09
2025-04-18,NVDA,user_51,1284,earnings crash chip miss sell earnings downgrade,0.269,4,4,2025-04-18,2025-04-14
2025-06-15,NVDA,user_79,5255,earnings chip miss miss buy,0.76,6,4,2025-06-15,2025-06-09
2025-01-16,MSFT,user_95,1470,cloud rebound sell chip upgrade,-0.053,6,2,2025-01-16,2025-01-13
2025-02-05,AAPL,user_54,17202,holding AI downgrade beat,-0.39,6,1,2025-02-05,2025-02-03
2025-01-09,GOOGL,user_80,9646,miss earnings holding earnings,0.443,6,1,2025-01-09,2025-01-06
2025-02-28,GOOGL,user_74,19538,earnings buy downgrade,-0.048,3,4,2025-02-28,2025-02-24
2025-03-11,AAPL,user_93,4405,dividend cloud revenue,-0.869,5,1,2025-03-11,2025-03-10
2025-02-18,GOOGL,user_59,19739,cloud upgrade chip earnings AI upgrade holding,0.339,2,8,2025-02-18,2025-02-17
2025-05-30,AAPL,user_6,17972,miss sell crash,-0.214,5,0,2025-05-30,2025-05-26
2025-03-06,TSLA,user_29,17765,beat growth dividend downgrade,-0.036,3,1,2025-03-06,2025-03-03
2025-02-20,MSFT,user_17,8311,AI crash sell earnings,0.133,3,3,2025-02-20,2025-02-17
2025-04-08,MSFT,user_60,13815,chip beat rebound,0.076,5,1,2025-04-08,2025-04-07
2025-01-26,SPG,user_22,5994,rebound upgrade chip,0.284,11,3,2025-01-26,2025-01-20
2025-05-25,MSFT,user_24,7176,cloud chip buy beat cloud,-0.174,7,2,2025-05-25,2025-05-19
2025-01-14,AAPL,user_81,16914,downgrade sell cloud beat crash upgrade,0.205,7,2,2025-01-14,2025-01-13
2025-06-27,SPG,user_85,5313,sell downgrade holding,-0.104,4,1,2025-06-27,2025-06-23
2025-05-20,AAPL,user_51,15350,buy crash revenue miss downgrade,0.296,1,2,2025-05-20,2025-05-19
2025-02-05,AMZN,user_50,2843,crash upgrade rebound beat cloud downgrade cloud,0.246,4,0,2025-02-05,2025-02-03
2025-01-01,SPG,user_11,2942,beat beat beat holding upgrade,-0.374,5,1,2025-01-01,2024-12-30
2025-05-27,GOOGL,user_56,1248,cloud earnings rebound AI,0.434,4,0,2025-05-27,2025-05-26
2025-05-08,GOOGL,user_71,18806,rebound sell crash crash,-0.214,4,5,2025-05-08,2025-05-05
2025-05-12,AMZN,user_42,18326,AI miss buy growth chip,0.323,7,4,2025-05-12,2025-05-12
2025-05-19,AMZN,user_39,1933,rebound buy buy,0.147,6,3,2025-05-19,2025-05-19
2025-01-14,MSFT,user_69,847,cloud beat crash crash,0.735,8,1,2025-01-14,2025-01-13
2025-03-06,AMZN,user_48,8259,growth holding miss miss holding,-0.089,4,2,2025-03-06,2025-03-03
2025-01-21,AAPL,user_57,8285,crash dividend revenue earnings chip,-0.14,3,1,2025-01-21,2025-01-20
2025-06-05,NVDA,user_21,16588,buy earnings cloud growth upgrade earnings AI,-0.008,0,4,2025-06-05,2025-06-02
2025-04-23,AAPL,user_82,15307,buy AI beat,-0.121,4,1,2025-04-23,2025-04-21
2025-03-01,SPG,user_99,8100,growth buy cloud earnings miss,0.32,1,0,2025-03-01,2025-02-24
2025-01-12,AMZN,user_20,5997,dividend beat upgrade dividend,-0.647,4,3,2025-01-12,2025-01-06
2025-02-25,GOOGL,user_15,9667,miss miss AI,-0.421,3,1,2025-02-25,2025-02-24
2025-02-28,AAPL,user_69,1942,AI crash earnings crash chip AI,-0.427,5,3,2025-02-28,2025-02-24
2025-05-12,GOOGL,user_77,3474,AI chip earnings downgrade AI sell upgrade,0.38,6,0,2025-05-12,2025-05-12
2025-04-25,AAPL,user_51,9500,holding earnings earnings dividend upgrade,0.684,6,2,2025-04-25,2025-04-21
2025-06-09,GOOGL,user_76,13468,beat earnings upgrade cloud dividend,-0.042,4,2,2025-06-09,2025-06-09
2025-03-26,TSLA,user_62,2065,cloud upgrade downgrade dividend,-0.068,4,1,2025-03-26,2025-03-24
2025-01-22,AAPL,user_85,4883,crash cloud sell rebound buy chip crash,0.028,5,3,2025-01-22,2025-01-20
2025-05-09,SPG,user_37,9944,upgrade downgrade downgrade earnings revenue earnings,0.465,1,3,2025-05-09,2025-05-05
2025-05-17,GOOGL,user_6,15992,crash beat crash chip dividend buy downgrade,-0.371,9,1,2025-05-17,2025-05-12
2025-04-12,NVDA,user_71,9115,rebound miss holding AI,0.095,7,1,2025-04-12,2025-04-07
2025-05-19,SPG,user_26,615,miss upgrade growth,0.39,5,3,2025-05-19,2025-05-19
2025-03-30,MSFT,user_8,7462,cloud beat beat,0.2,4,1,2025-03-30,2025-03-24
2025-04-05,AAPL,user_73,18452,cloud earnings miss growth,0.076,5,0,2025-04-05,2025-03-31
2025-03-18,NVDA,user_91,10127,buy chip miss,0.4,132,1,2025-03-18,2025-03-17
2025-01-05,MSFT,user_4,10365,crash chip beat chip rebound,-1.0,1,3,2025-01-05,2024-12-30
2025-01-20,AAPL,user_21,12884,rebound dividend earnings rebound beat dividend rebound,0.271,3,4,2025-01-20,2025-01-20
2025-01-06,NVDA,user_31,2364,chip earnings rebound dividend upgrade,-0.262,7,2,2025-01-06,2025-01-06
2025-04-25,NVDA,user_21,4462,growth sell upgrade sell,-0.732,6,0,2025-04-25,2025-04-21
2025-02-26,SPG,user_25,3933,buy revenue upgrade upgrade downgrade,0.204,10,2,2025-02-26,2025-02-24
2025-04-02,TSLA,user_15,11434,holding miss crash rebound growth,0.549,4,1,2025-04-02,2025-03-31
2025-06-13,NVDA,user_35,10101,miss beat crash buy buy AI,-0.055,5,3,2025-06-13,2025-06-09
2025-02-14,TSLA,user_49,8266,miss dividend downgrade sell beat,0.381,6,2,2025-02-14,2025-02-10
2025-03-15,AMZN,user_43,11745,growth buy earnings,0.645,6,2,2025-03-15,2025-03-10
2025-05-16,SPG,user_41,7952,buy earnings miss,0.526,8,2,2025-05-16,2025-05-12
2025-02-11,GOOGL,user_37,13237,chip AI crash buy growth buy,0.656,4,0,2025-02-11,2025-02-10
2025-01-14,SPG,user_57,17623,cloud growth holding upgrade crash holding cloud,0.297,3,3,2025-01-14,2025-01-13
2025-02-22,MSFT,user_42,12338,buy AI AI cloud revenue crash holding,0.03,3,2,2025-02-22,2025-02-17
2025-01-30,GOOGL,user_47,14260,buy cloud holding chip,-0.641,9,0,2025-01-30,2025-01-27
2025-06-17,GOOGL,user_92,6934,sell miss downgrade buy,-0.098,7,2,2025-06-17,2025-06-16
2025-05-26,TSLA,user_61,19591,cloud miss holding chip,-0.337,2,2,2025-05-26,2025-05-26
2025-04-25,GOOGL,user_14,10609,buy crash AI growth growth holding,0.868,2,2,2025-04-25,2025-04-21
2025-06-06,NVDA,user_68,18175,dividend holding cloud sell,-0.07,4,2,2025-06-06,2025-06-02
2025-05-25,TSLA,user_53,3738,buy growth growth downgrade revenue sell,0.049,6,3,2025-05-25,2025-05-19
2025-02-03,GOOGL,user_84,14164,crash buy rebound growth holding crash growth,0.221,9,1,2025-02-03,2025-02-03
2025-06-10,TSLA,user_34,5419,chip AI crash miss rebound,0.017,11,2,2025-06-10,2025-06-09
2025-04-08,AMZN,user_76,11988,holding holding buy downgrade chip crash sell,0.678,4,2,2025-04-08,2025-04-07
2025-05-26,TSLA,user_97,4073,revenue crash cloud revenue crash,-0.249,7,3,2025-05-26,2025-05-26
2025-06-11,AAPL,user_24,16032,revenue earnings earnings beat miss,0.078,7,2,2025-06-11,2025-06-09
2025-02-27,NVDA,user_20,17150,cloud chip growth revenue sell growth dividend,-0.297,3,4,2025-02-27,2025-02-24
2025-01-20,MSFT,user_69,4017,growth beat holding,-0.528,7,2,2025-01-20,2025-01-20
2025-02-11,AAPL,user_30,7473,holding earnings AI downgrade sell sell buy,-0.245,5,1,2025-02-11,2025-02-10
2025-03-18,AAPL,user_88,6500,earnings upgrade dividend chip sell holding growth,-0.015,2,1,2025-03-18,2025-03-17
2025-05-28,AAPL,user_7,12263,earnings beat beat miss revenue cloud,-0.172,9,0,2025-05-28,2025-05-26
2025-06-04,GOOGL,user_36,3265,sell beat downgrade,-0.277,6,2,2025-06-04,2025-06-02
2025-01-02,TSLA,user_38,440,earnings dividend miss downgrade crash,-0.563,3,4,2025-01-02,2024-12-30
2025-04-02,TSLA,user_80,19471,dividend cloud crash,-0.033,6,1,2025-04-02,2025-03-31
2025-03-17,SPG,user_52,282,cloud growth revenue revenue buy,-0.602,3,0,2025-03-17,2025-03-17
2025-02-09,GOOGL,user_15,19565,holding buy cloud rebound,0.304,2,2,2025-02-09,2025-02-03
2025-01-22,NVDA,user_46,7684,AI rebound growth rebound,0.033,8,0,2025-01-22,2025-01-20
2025-03-02,GOOGL,user_23,11548,cloud earnings dividend dividend AI,-0.583,4,0,2025-03-02,2025-02-24
2025-06-19,GOOGL,user_12,10966,sell growth beat upgrade miss sell revenue,-0.124,5,3,2025-06-19,2025-06-16
2025-02-28,GOOGL,user_93,283,dividend earnings rebound miss sell buy beat,-0.301,4,2,2025-02-28,2025-02-24
2025-04-04,NVDA,user_44,1441,miss dividend downgrade,0.128,3,3,2025-04-04,2025-03-31
2025-05-07,SPG,user_15,11134,dividend miss beat upgrade rebound chip miss,0.536,4,1,2025-05-07,2025-05-05
2025-03-07,NVDA,user_93,9497,crash sell downgrade AI rebound,-0.75,3,1,2025-03-07,2025-03-03
2025-06-24,AMZN,user_49,14234,growth dividend AI buy dividend beat downgrade,0.046,11,2,2025-06-24,2025-06-23
2025-06-23,SPG,user_21,11932,cloud revenue sell downgrade,-0.064,6,4,2025-06-23,2025-06-23
2025-02-15,AMZN,user_15,14888,buy holding beat earnings holding,0.269,5,3,2025-02-15,2025-02-10
2025-03-31,AMZN,user_14,17323,AI beat upgrade crash,0.085,5,1,2025-03-31,2025-03-31
2025-02-24,AMZN,user_42,7952,revenue earnings buy upgrade growth,-0.301,5,4,2025-02-24,2025-02-24
2025-02-21,TSLA,user_80,12929,miss sell growth chip crash,-0.128,3,1,2025-02-21,2025-02-17
2025-01-07,AAPL,user_15,17179,crash buy dividend earnings chip earnings holding,-0.318,6,3,2025-01-07,2025-01-06
2025-04-20,AAPL,user_63,9961,earnings upgrade buy cloud upgrade,0.43,4,1,2025-04-20,2025-04-14
2025-04-01,AMZN,user_68,477,upgrade sell rebound dividend sell beat rebound,0.009,5,1,2025-04-01,2025-03-31
2025-01-10,AMZN,user_27,781,crash buy buy,0.76,3,2,2025-01-10,2025-01-06
2025-02-20,MSFT,user_87,849,AI upgrade crash,-0.024,7,3,2025-02-20,2025-02-17
2025-06-13,AAPL,user_93,7075,rebound growth holding holding,-0.283,3,1,2025-06-13,2025-06-09
2025-02-13,MSFT,user_53,14531,beat downgrade downgrade holding,-0.605,6,3,2025-02-13,2025-02-10
2025-01-27,SPG,user_52,7674,downgrade holding beat downgrade,-0.721,7,2,2025-01-27,2025-01-27
2025-03-30,MSFT,user_63,15011,upgrade buy AI buy dividend,-0.634,1,2,2025-03-30,2025-03-24
2025-06-27,GOOGL,user_73,18972,growth buy chip,0.107,6,2,2025-06-27,2025-06-23
2025-02-13,TSLA,user_53,8282,cloud revenue crash holding crash chip,0.203,4,0,2025-02-13,2025-02-10
2025-05-01,SPG,user_57,3417,buy growth beat miss revenue miss crash,-0.632,2,5,2025-05-01,2025-04-28
2025-05-18,NVDA,user_52,13312,sell rebound downgrade,0.358,2,2,2025-05-18,2025-05-12
2025-02-12,AAPL,user_43,5279,dividend rebound AI dividend chip,-0.193,5,2,2025-02-12,2025-02-10
2025-05-12,AMZN,user_7,18849,revenue growth buy growth,0.059,5,0,2025-05-12,2025-05-12
2025-03-08,SPG,user_42,13797,beat miss dividend growth,0.645,3,4,2025-03-08,2025-03-03
2025-04-24,AMZN,user_4,19383,growth rebound holding revenue crash sell upgrade,0.359,5,1,2025-04-24,2025-04-21
2025-04-25,NVDA,user_69,4311,sell chip cloud earnings growth holding sell,-0.107,11,1,2025-04-25,2025-04-21
2025-04-07,SPG,user_5,3516,dividend growth buy cloud chip,-0.356,2,5,2025-04-07,2025-04-07
2025-01-17,AAPL,user_75,13835,downgrade downgrade AI sell holding,-0.861,6,0,2025-01-17,2025-01-13
2025-05-31,SPG,user_92,3138,upgrade crash dividend growth growth downgrade growth,-0.288,5,2,2025-05-31,2025-05-26
2025-02-27,AMZN,user_80,13065,earnings AI miss,-0.084,3,1,2025-02-27,2025-02-24
2025-02-03,AMZN,user_41,1165,AI sell buy,-0.395,4,3,2025-02-03,2025-02-03
2025-01-08,GOOGL,user_94,4628,dividend downgrade cloud sell growth holding dividend,-0.053,10,2,2025-01-08,2025-01-06
2025-04-17,MSFT,user_4,2640,cloud upgrade growth AI,0.031,116,5,2025-04-17,2025-04-14
2025-05-02,SPG,user_2,7422,sell revenue revenue holding upgrade growth cloud,-0.09,8,3,2025-05-02,2025-04-28
2025-01-03,AMZN,user_67,3623,AI cloud buy AI cloud beat,-0.26,3,2,2025-01-03,2024-12-30
2025-04-03,TSLA,user_21,3028,rebound revenue crash downgrade chip rebound,0.067,5,2,2025-04-03,2025-03-31
2025-02-10,AAPL,user_70,10689,cloud rebound chip growth,0.177,4,1,2025-02-10,2025-02-10
2025-04-27,TSLA,user_43,9472,beat buy cloud buy holding AI,-0.436,11,0,2025-04-27,2025-04-21
2025-02-01,NVDA,user_82,10908,earnings sell cloud beat,0.564,3,1,2025-02-01,2025-01-27
2025-05-05,SPG,user_69,5025,revenue buy beat,-0.039,4,3,2025-05-05,2025-05-05
2025-03-11,GOOGL,user_9,4975,chip buy rebound,0.008,3,1,2025-03-11,2025-03-10
2025-06-18,AAPL,user_84,10836,downgrade upgrade dividend beat AI beat,0.283,3,1,2025-06-18,2025-06-16
2025-01-25,GOOGL,user_28,19864,downgrade miss growth crash chip,0.093,8,0,2025-01-25,2025-01-20
2025-03-03,MSFT,user_26,14766,cloud AI sell rebound growth,0.381,1,2,2025-03-03,2025-03-03
2025-01-21,AMZN,user_82,2045,earnings upgrade crash earnings AI chip,0.115,5,3,2025-01-21,2025-01-20
2025-06-16,AAPL,user_83,13894,holding AI cloud dividend upgrade sell rebound,-0.245,7,4,2025-06-16,2025-06-16
2025-06-07,NVDA,user_3,3941,rebound buy dividend holding,0.145,3,2,2025-06-07,2025-06-02
2025-02-16,SPG,user_73,15572,beat miss chip growth buy rebound holding,-0.457,7,3,2025-02-16,2025-02-10
2025-04-29,MSFT,user_100,7195,dividend buy AI upgrade dividend holding,0.043,5,3,2025-04-29,2025-04-28
2025-05-28,MSFT,user_95,8548,sell cloud buy crash,-0.013,7,2,2025-05-28,2025-05-26
2025-04-10,GOOGL,user_49,9604,revenue holding miss AI crash,-0.083,5,3,2025-04-10,2025-04-07
2025-04-06,MSFT,user_17,2152,chip rebound rebound earnings cloud beat sell,-0.051,7,0,2025-04-06,2025-03-31
2025-02-13,AAPL,user_63,3080,rebound crash holding upgrade downgrade,-0.753,5,2,2025-02-13,2025-02-10
2025-01-17,GOOGL,user_55,8574,rebound holding rebound sell downgrade dividend rebound,-0.219,4,2,2025-01-17,2025-01-13
2025-06-11,MSFT,user_23,8157,beat upgrade upgrade,0.037,5,4,2025-06-11,2025-06-09
2025-06-12,SPG,user_34,16676,crash downgrade chip miss,0.064,11,2,2025-06-12,2025-06-09
2025-04-24,NVDA,user_69,18318,beat revenue dividend sell miss,-0.411,7,2,2025-04-24,2025-04-21
2025-03-03,SPG,user_15,14985,downgrade revenue AI downgrade beat AI buy,0.506,6,2,2025-03-03,2025-03-03
2025-03-04,TSLA,user_47,9674,crash AI revenue cloud,-0.346,3,2,2025-03-04,2025-03-03
2025-05-11,AAPL,user_3,15873,holding dividend holding crash crash sell crash,0.388,0,1,2025-05-11,2025-05-05
2025-06-11,NVDA,user_83,7913,AI AI buy miss crash,0.171,10,2,2025-06-11,2025-06-09
2025-06-09,NVDA,user_28,3159,revenue crash downgrade buy upgrade,-0.258,5,3,2025-06-09,2025-06-09
2025-05-21,GOOGL,user_3,18620,revenue rebound AI upgrade AI,0.71,5,1,2025-05-21,2025-05-19
2025-04-26,AMZN,user_4,12532,beat dividend earnings,-0.477,3,3,2025-04-26,2025-04-21
2025-01-16,GOOGL,user_88,1600,miss downgrade growth beat upgrade,0.368,4,3,2025-01-16,2025-01-13
2025-01-30,AAPL,user_31,696,dividend rebound holding chip growth dividend dividend,0.4,2,1,2025-01-30,2025-01-27
2025-06-11,AAPL,user_45,13457,beat cloud growth chip sell,-0.268,2,1,2025-06-11,2025-06-09
2025-04-20,GOOGL,user_59,12750,sell cloud AI AI downgrade growth,0.557,7,4,2025-04-20,2025-04-14
2025-01-02,AMZN,user_45,587,revenue AI cloud upgrade,-0.1,3,2,2025-01-02,2024-12-30
2025-01-19,SPG,user_75,14216,rebound buy crash,0.115,1,1,2025-01-19,2025-01-13
2025-04-30,GOOGL,user_37,6622,downgrade revenue crash AI,0.104,3,1,2025-04-30,2025-04-28
2025-01-01,AAPL,user_65,284,revenue miss holding cloud growth,-0.054,7,0,2025-01-01,2024-12-30
2025-01-29,AMZN,user_9,14117,rebound revenue sell chip,0.324,241,2,2025-01-29,2025-01-27
2025-04-09,AAPL,user_17,9746,downgrade chip cloud beat AI miss,0.317,5,3,2025-04-09,2025-04-07
2025-05-05,AMZN,user_65,14200,earnings revenue earnings sell earnings upgrade,-0.699,4,2,2025-05-05,2025-05-05
2025-04-28,AMZN,user_3,17808,downgrade miss buy,0.522,5,1,2025-04-28,2025-04-28
2025-02-10,GOOGL,user_26,1959,miss buy miss dividend,-0.665,5,1,2025-02-10,2025-02-10
2025-05-09,GOOGL,user_53,12200,sell sell cloud revenue chip,0.413,3,4,2025-05-09,2025-05-05
2025-02-12,GOOGL,user_31,130,downgrade earnings upgrade holding earnings AI downgrade,0.451,3,1,2025-02-12,2025-02-10
2025-02-28,AMZN,user_26,2133,upgrade buy miss chip chip revenue holding,-0.436,6,1,2025-02-28,2025-02-24
2025-05-15,AMZN,user_23,13428,dividend growth dividend sell cloud,-0.164,6,3,2025-05-15,2025-05-12
2025-04-27,AAPL,user_30,15267,AI earnings buy holding,-0.442,4,1,2025-04-27,2025-04-21
2025-06-02,NVDA,user_10,18124,rebound growth chip growth AI AI upgrade,-0.086,9,1,2025-06-02,2025-06-02
2025-04-29,GOOGL,user_72,17190,revenue sell chip cloud earnings miss,-0.123,6,3,2025-04-29,2025-04-28
2025-04-13,TSLA,user_89,2720,upgrade holding buy cloud downgrade,0.312,5,2,2025-04-13,2025-04-07
2025-01-17,AAPL,user_64,3801,AI beat chip revenue beat upgrade,0.524,5,2,2025-01-17,2025-01-13
2025-03-08,AAPL,user_22,11794,miss holding rebound beat holding upgrade,0.558,4,2,2025-03-08,2025-03-03
2025-02-17,MSFT,user_15,5311,dividend downgrade miss,-0.225,10,2,2025-02-17,2025-02-17
2025-02-13,GOOGL,user_56,14741,AI holding revenue buy,-0.084,6,3,2025-02-13,2025-02-10
2025-06-25,SPG,user_74,6902,crash downgrade sell,-0.673,2,3,2025-06-25,2025-06-23
2025-03-12,AAPL,user_20,1544,revenue upgrade crash downgrade cloud rebound,-0.322,4,5,2025-03-12,2025-03-10
2025-06-10,MSFT,user_47,17335,AI beat crash,0.386,3,1,2025-06-10,2025-06-09
2025-04-24,TSLA,user_87,722,cloud sell earnings growth holding,0.646,2,3,2025-04-24,2025-04-21
2025-05-24,TSLA,user_53,8680,revenue downgrade beat crash downgrade dividend holding,-0.494,5,1,2025-05-24,2025-05-19
2025-04-01,SPG,user_53,10318,cloud chip rebound cloud cloud growth,-0.237,6,0,2025-04-01,2025-03-31
2025-04-14,GOOGL,user_1,494,cloud downgrade earnings,-0.011,5,2,2025-04-14,2025-04-14
2025-03-30,AMZN,user_2,9207,rebound miss revenue rebound downgrade chip,0.112,10,3,2025-03-30,2025-03-24
2025-02-05,MSFT,user_58,12032,beat sell crash crash upgrade revenue AI,-0.324,5,1,2025-02-05,2025-02-03
2025-05-11,AMZN,user_19,8705,crash beat sell,0.17,5,4,2025-05-11,2025-05-05
2025-02-20,TSLA,user_62,18632,cloud chip chip miss,-0.19,4,1,2025-02-20,2025-02-17
2025-01-05,TSLA,user_78,2337,AI rebound buy downgrade miss,-0.006,4,0,2025-01-05,2024-12-30
2025-04-27,NVDA,user_72,12007,crash upgrade miss,0.219,3,2,2025-04-27,2025-04-21
2025-02-01,NVDA,user_12,4058,crash rebound buy downgrade rebound,0.003,6,0,2025-02-01,2025-01-27
2025-06-19,SPG,user_26,11746,earnings buy dividend crash revenue sell,-0.175,4,4,2025-06-19,2025-06-16
2025-06-21,NVDA,user_27,9154,buy sell buy buy rebound AI,-0.044,2,1,2025-06-21,2025-06-16
2025-06-14,NVDA,user_29,546,AI earnings dividend,-0.035,9,2,2025-06-14,2025-06-09
2025-03-08,SPG,user_15,1513,miss growth dividend cloud,-0.148,5,1,2025-03-08,2025-03-03
2025-01-03,AAPL,user_46,12509,sell chip sell dividend,-0.104,9,1,2025-01-03,2024-12-30
2025-06-17,NVDA,user_1,16927,buy crash upgrade AI holding upgrade,0.639,5,1,2025-06-17,2025-06-16
2025-03-19,AAPL,user_60,17860,miss rebound growth,0.224,5,2,2025-03-19,2025-03-17
2025-06-23,AAPL,user_92,9934,sell downgrade crash,-0.118,1,1,2025-06-23,2025-06-23
2025-06-23,GOOGL,user_57,18227,downgrade cloud earnings cloud,0.279,5,2,2025-06-23,2025-06-23
2025-06-03,AAPL,user_3,2773,chip growth upgrade earnings revenue,-0.134,8,3,2025-06-03,2025-06-02
2025-02-23,AAPL,user_18,17092,miss dividend miss dividend chip holding,0.469,6,4,2025-02-23,2025-02-17
2025-03-11,NVDA,user_52,4811,downgrade dividend cloud,0.148,2,2,2025-03-11,2025-03-10
2025-06-03,AAPL,user_60,7680,sell miss downgrade growth downgrade,-0.043,5,2,2025-06-03,2025-06-02
